# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	34500	35603	+	HENGBM_00035	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W6S1
contig_1	cds	35600	37222	-	HENGBM_00036	953.0	0.0	1.006	1.002	0.943	UniRef:UniRef90_K0CHJ4
contig_1	cds	37314	38372	-	HENGBM_00037	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B89082
contig_1	cds	38451	39752	-	HENGBM_00038	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0035A921FD
contig_1	cds	39754	40401	-	HENGBM_00039	400.0	1.6e-140	1.0	1.0	0.986	UniRef:UniRef90_K0CGY2
contig_1	cds	40412	41674	-	HENGBM_00040	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZGX8
contig_1	cds	41726	41980	-	HENGBM_00041	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K0CHJ7
contig_1	cds	42076	42720	-	HENGBM_00042	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZFT3
contig_1	cds	42857	43813	+	HENGBM_00043	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B828DE
contig_1	cds	43885	44853	+	HENGBM_00044	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W6I7
contig_1	cds	44853	45356	+	HENGBM_00045	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B905C8
contig_1	cds	45353	45910	+	HENGBM_00046	354.0	2.2e-123	1.0	1.0	0.957	UniRef:UniRef90_K0CHK0
contig_1	cds	45885	46547	+	HENGBM_00047	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B8F22A
contig_1	cds	46550	47275	+	HENGBM_00048	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W836
contig_1	cds	47465	48889	+	HENGBM_00049	868.0	0.0	1.0	0.971	0.979	UniRef:UniRef90_K0CGY9
contig_1	cds	48958	49257	+	HENGBM_00050	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K0CE05
contig_1	cds	49266	49739	+	HENGBM_00051	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W720
contig_1	cds	49755	50666	+	HENGBM_00052	561.0	6.4e-202	0.937	1.0	0.996	UniRef:UniRef90_A0A9Q3W6G0
contig_1	cds	50663	50932	+	HENGBM_00053	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W8Y4
contig_1	cds	51085	52413	-	HENGBM_00054	759.0	4.1e-275	1.0	1.0	0.971	UniRef:UniRef90_K0CGZ3
contig_1	cds	52413	54098	-	HENGBM_00055	1085.0	0.0	1.0	0.989	0.998	UniRef:UniRef90_K0CE11
contig_1	cds	54207	55136	-	HENGBM_00056	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZDZ4
contig_1	cds	55202	56557	-	HENGBM_00057	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZFT7
contig_1	cds	56624	57163	+	HENGBM_00058	321.0	1.8e-110	1.0	1.0	0.972	UniRef:UniRef90_K0CJF7
contig_1	cds	57354	58538	-	HENGBM_00059	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W6J7
contig_1	cds	58544	59011	-	HENGBM_00060	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W7Q7
contig_1	cds	59083	60528	-	HENGBM_00061	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B8C9A6
contig_1	cds	60515	61363	-	HENGBM_00062	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0006D5B7E0
contig_1	cds	61368	65150	-	HENGBM_00063	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00293455E0
contig_1	cds	65177	65797	-	HENGBM_00064	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W8M9
contig_1	cds	65830	66321	-	HENGBM_00065	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K0CE23
contig_1	cds	66318	67196	-	HENGBM_00066	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W728
contig_1	cds	67242	68420	-	HENGBM_00067	671.0	4.2e-242	0.964	0.995	0.926	UniRef:UniRef90_K0CJZ6
contig_1	cds	68638	68925	+	HENGBM_00068	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0007A7567B
contig_1	cds	68932	70386	+	HENGBM_00069	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZDT0
contig_1	cds	70383	71840	+	HENGBM_00070	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B7FD99
contig_1	cds	72052	73584	+	HENGBM_00071	937.0	0.0	1.0	1.0	0.910	UniRef:UniRef90_K0CHL8
contig_1	cds	73589	73975	+	HENGBM_00072	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B90F30
contig_1	cds	73998	74813	+	HENGBM_00073	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B89A94
contig_1	cds	74853	75695	-	HENGBM_00074	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B8265E
contig_1	cds	75719	76987	-	HENGBM_00075	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B8C5B8
contig_1	cds	76987	79938	-	HENGBM_00076	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B8302D
contig_1	cds	79938	82925	-	HENGBM_00077	1962.0	0.0	1.0	1.0	0.994	UniRef:UniRef90_K0CHM1
contig_1	cds	83079	84167	-	HENGBM_00078	-	-	-	-	-	-
contig_1	cds	84391	85071	+	HENGBM_00079	455.0	5.8e-162	1.0	1.0	0.951	UniRef:UniRef90_K0CJG7
contig_1	cds	85049	86494	+	HENGBM_00080	945.0	0.0	1.0	0.970	0.985	UniRef:UniRef90_K0CH08
contig_1	cds	86498	87031	+	HENGBM_00081	305.0	2.0e-104	1.0	0.994	0.836	UniRef:UniRef90_K0CE33
contig_1	cds	87076	87870	+	HENGBM_00082	519.0	3.7e-186	1.0	1.0	0.951	UniRef:UniRef90_UPI0013575739
contig_1	cds	87812	89002	+	HENGBM_00083	676.0	8.2e-245	0.859	1.0	0.941	UniRef:UniRef90_UPI0013580192
contig_1	cds	89040	90386	-	HENGBM_00084	786.0	2.0e-285	1.0	1.0	0.873	UniRef:UniRef90_K0CJG9
contig_1	cds	90386	93130	-	HENGBM_00085	1585.0	0.0	1.0	0.991	0.981	UniRef:UniRef90_K0CH11
contig_1	cds	93198	93551	-	HENGBM_00086	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZE03
contig_1	cds	93764	94039	-	HENGBM_00087	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZFU6
contig_1	cds	94148	94687	+	HENGBM_00088	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0004B41571
contig_1	cds	94692	94964	-	HENGBM_00089	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W6L3
contig_1	cds	95044	95892	+	HENGBM_00090	497.0	6.7e-177	0.957	1.0	0.922	UniRef:UniRef90_K0CH15
contig_1	cds	95881	97719	-	HENGBM_00091	1098.0	0.0	1.0	1.0	0.922	UniRef:UniRef90_K0CE41
contig_1	cds	97716	98408	-	HENGBM_00092	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B8E2A7
contig_1	cds	98727	98981	+	HENGBM_00093	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W868
contig_1	cds	99126	100151	+	HENGBM_00094	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B81E62
contig_1	cds	100278	101039	-	HENGBM_00095	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00047EF60D
contig_1	cds	101082	101903	-	HENGBM_00096	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W744
contig_1	cds	101907	103004	-	HENGBM_00097	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W6J2
contig_1	cds	103048	104313	-	HENGBM_00098	783.0	2.9e-285	1.0	1.0	0.979	UniRef:UniRef90_K0CK15
contig_1	cds	104545	106266	+	HENGBM_00099	808.0	3.0e-290	1.0	1.0	0.913	UniRef:UniRef90_K0CJH8
contig_1	cds	106263	106823	+	HENGBM_00100	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZGZ0
contig_1	cds	106820	107701	+	HENGBM_00101	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZE07
contig_1	tRNA	107714	107789	+	HENGBM_00102	71.6	-	-	-	-	-
contig_1	cds	107841	108800	+	HENGBM_00103	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZFV1
contig_1	cds	109018	109665	+	HENGBM_00104	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZI08
contig_1	cds	109725	110309	+	HENGBM_00105	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W6M3
contig_1	cds	110335	111207	-	HENGBM_00106	569.0	6.0e-205	1.0	1.0	0.962	UniRef:UniRef90_K0CHP1
contig_1	cds	111235	112326	+	HENGBM_00107	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B8F8EF
contig_1	cds	112539	113813	+	HENGBM_00108	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A962WT56
contig_1	cds	113817	115613	-	HENGBM_00109	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W879
contig_1	cds	115854	116267	+	HENGBM_00110	170.0	3.3e-52	0.934	1.0	0.695	UniRef:UniRef90_S2EUD7
contig_1	cds	116267	116731	+	HENGBM_00111	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W6X0
contig_1	cds	116752	117111	+	HENGBM_00112	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W752
contig_1	cds	117212	117445	-	HENGBM_00113	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W6K2
contig_1	cds	117459	118610	-	HENGBM_00114	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W922
contig_1	cds	118618	121893	-	HENGBM_00115	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZDU6
contig_1	cds	121905	122384	-	HENGBM_00116	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZGZ5
contig_1	cds	123035	124105	-	HENGBM_00117	666.0	2.7e-241	0.997	1.0	0.930	UniRef:UniRef90_A0A1I0AB14
contig_1	cds	124305	124502	+	HENGBM_00118	105.0	1.1e-28	0.969	0.818	0.794	UniRef:UniRef90_A0A1R1JFE5
contig_2	cds	15	269	+	HENGBM_00119	87.4	5.9e-21	0.905	0.905	0.566	UniRef:UniRef90_A0A1E5AB82
contig_2	cds	285	698	-	HENGBM_00120	-	-	-	-	-	-
contig_2	cds	710	1486	-	HENGBM_00121	-	-	-	-	-	-
contig_2	cds	1580	2188	+	HENGBM_00122	-	-	-	-	-	-
contig_2	cds	2305	2658	-	HENGBM_00123	-	-	-	-	-	-
contig_3	rRNA	39	1579	-	HENGBM_00124	1591.1	2.5e-48	-	-	-	RFAM:RF00177
contig_3	cds	2031	2819	-	HENGBM_00125	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K0CK62
contig_3	cds	2995	4011	-	HENGBM_00126	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K0CJM9
contig_3	cds	4162	5049	+	HENGBM_00127	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W8P5
contig_3	cds	5135	5719	-	HENGBM_00128	375.0	1.8e-131	1.0	0.956	0.995	UniRef:UniRef90_UPI00047AF571
contig_3	cds	5837	8974	+	HENGBM_00129	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B85FAD
contig_3	cds	9171	10313	-	HENGBM_00130	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W665
contig_3	cds	10348	11985	-	HENGBM_00131	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B87FEA
contig_3	cds	12145	12675	-	HENGBM_00132	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B7EB6C
contig_3	cds	12734	13348	-	HENGBM_00133	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W8C7
contig_3	cds	13512	14003	-	HENGBM_00134	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K0CJN1
contig_3	cds	14003	15724	-	HENGBM_00135	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W6Y1
contig_3	cds	16174	16620	+	HENGBM_00136	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B86F0C
contig_3	cds	16800	17921	+	HENGBM_00137	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W7F4
contig_3	cds	17980	20565	-	HENGBM_00138	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W691
contig_3	cds	20759	21505	-	HENGBM_00139	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B85953
contig_3	cds	21502	22473	-	HENGBM_00140	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZFQ0
contig_3	cds	22529	23344	+	HENGBM_00141	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZDU9
contig_3	cds	23397	25022	-	HENGBM_00142	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZGU3
contig_3	cds	25388	25648	+	HENGBM_00143	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZDM4
contig_3	cds	25668	27251	+	HENGBM_00144	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W8N7
contig_3	cds	27254	28624	+	HENGBM_00145	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B8BDDE
contig_3	cds	28597	29682	-	HENGBM_00146	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B85A17
contig_3	cds	29811	30299	+	HENGBM_00147	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W6J1
contig_3	cds	30329	30748	-	HENGBM_00148	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W8B6
contig_3	cds	30745	33711	-	HENGBM_00149	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B83993
contig_3	cds	33730	34281	-	HENGBM_00150	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W6X5
contig_3	cds	34281	35069	-	HENGBM_00151	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B91565
contig_3	cds	35066	35587	-	HENGBM_00152	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W7E6
contig_3	cds	35596	36087	-	HENGBM_00153	285.0	5.1e-97	0.975	1.0	0.931	UniRef:UniRef90_K0CK77
contig_3	cds	36303	37238	-	HENGBM_00154	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B811C6
contig_3	cds	37413	37883	-	HENGBM_00155	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B91BAF
contig_3	cds	37873	38418	-	HENGBM_00156	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B8B28A
contig_3	cds	38411	41227	-	HENGBM_00157	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B903EF
contig_3	cds	41224	42156	-	HENGBM_00158	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B8ABB6
contig_3	cds	42232	43818	-	HENGBM_00159	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B8C1A3
contig_3	cds	44114	44383	+	HENGBM_00160	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K0CH93
contig_3	cds	44506	45615	-	HENGBM_00161	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W6T1
contig_3	cds	45650	46837	-	HENGBM_00162	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W6I2
contig_3	cds	47041	47301	-	HENGBM_00163	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K0CK87
contig_3	cds	47329	47640	-	HENGBM_00164	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K0CJQ6
contig_3	cds	47891	48862	+	HENGBM_00165	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W6W8
contig_3	cds	48908	49501	+	HENGBM_00166	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B83388
contig_3	cds	49510	49782	+	HENGBM_00167	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W7D5
contig_3	cds	50238	50429	-	HENGBM_00168	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K0CK91
contig_3	cds	50417	50830	-	HENGBM_00169	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B83432
contig_3	cds	50968	51357	+	HENGBM_00170	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZFP2
contig_3	cds	51398	52414	-	HENGBM_00171	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZDU1
contig_3	cds	52615	53445	+	HENGBM_00172	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B8318A
contig_3	cds	53637	53822	+	HENGBM_00173	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K0CK95
contig_3	cds	53819	54199	-	HENGBM_00174	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W8L8
contig_3	cds	54467	54898	+	HENGBM_00175	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B81908
contig_3	cds	54924	55346	-	HENGBM_00176	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000686530F
contig_3	cds	55432	56640	+	HENGBM_00177	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001802A37B
contig_3	cds	56852	58177	+	HENGBM_00178	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W6S4
contig_3	cds	58217	58768	-	HENGBM_00179	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W6H2
contig_3	cds	58904	60259	-	HENGBM_00180	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W894
contig_3	cds	60269	61222	-	HENGBM_00181	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K0CJR8
contig_3	cds	61306	61665	-	HENGBM_00182	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W6V8
contig_3	cds	61781	62413	-	HENGBM_00183	375.0	8.7e-131	1.0	1.0	0.981	UniRef:UniRef90_K0CEH8
contig_3	cds	62561	64672	+	HENGBM_00184	1310.0	0.0	0.950	1.0	0.991	UniRef:UniRef90_K0CHW1
contig_3	cds	64836	65942	-	HENGBM_00185	661.0	2.1e-239	0.889	1.0	0.982	UniRef:UniRef90_K0CKA3
contig_3	cds	66192	67688	+	HENGBM_00186	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B8C9A7
contig_3	cds	67675	68730	+	HENGBM_00187	617.0	4.2e-222	1.0	1.0	0.957	UniRef:UniRef90_A0A9Q3ZFN7
contig_3	cds	68817	71006	-	HENGBM_00188	1264.0	0.0	0.962	0.996	0.979	UniRef:UniRef90_A0A9Q3ZDT6
contig_3	cds	71017	71883	-	HENGBM_00189	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZGT4
contig_3	cds	72093	72812	-	HENGBM_00190	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00047A0B12
contig_3	cds	73448	73966	-	HENGBM_00191	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W8L0
contig_3	cds	74034	75401	-	HENGBM_00192	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W624
contig_3	cds	75633	76280	+	HENGBM_00193	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K0CHC5
contig_3	cds	76413	79238	+	HENGBM_00194	1855.0	0.0	1.0	1.0	0.988	UniRef:UniRef90_K0CEI9
contig_3	cds	79649	79999	-	HENGBM_00195	209.0	2.8e-68	1.0	1.0	0.948	UniRef:UniRef90_K0CHX0
contig_3	cds	80224	81525	+	HENGBM_00196	839.0	4.1e-307	1.0	1.0	0.963	UniRef:UniRef90_K0CKB7
contig_3	cds	81593	82063	-	HENGBM_00197	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W6V0
contig_3	cds	82131	82667	-	HENGBM_00198	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W3D7
contig_3	cds	82785	84500	-	HENGBM_00199	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B89C78
contig_3	cds	84581	84784	+	HENGBM_00200	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W648
contig_3	cds	84869	85255	-	HENGBM_00201	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K0CKB9
contig_3	cds	85306	86313	-	HENGBM_00202	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZFN2
contig_3	cds	86334	86960	-	HENGBM_00203	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZDT1
contig_3	cds	86977	87375	-	HENGBM_00204	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K0CEK0
contig_3	cds	87398	87754	-	HENGBM_00205	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZDK3
contig_3	cds	87869	87985	-	HENGBM_00206	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q0VSI2
contig_3	cds	88022	89404	-	HENGBM_00207	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K0CJT6
contig_3	cds	89418	89852	-	HENGBM_00208	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W6Q8
contig_3	cds	89856	90038	-	HENGBM_00209	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K0CEK9
contig_3	cds	90062	90559	-	HENGBM_00210	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K0CHY3
contig_3	cds	90572	90922	-	HENGBM_00211	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K0CKC6
contig_3	cds	90940	91473	-	HENGBM_00212	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W6U1
contig_3	cds	91504	91896	-	HENGBM_00213	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W3C5
contig_3	cds	91923	92228	-	HENGBM_00214	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W7A3
