# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	12689	13921	+	HENGBM_00015	livK	Periplasmic substrate-binding protein, ABC-type branched-chain amino acid transporter	COG:COG0683, COG:E, RefSeq:WP_022996229.1, SO:0001217, UniParc:UPI0003B81FEC, UniRef:UniRef100_UPI0003B81FEC, UniRef:UniRef50_Q2YL86, UniRef:UniRef90_K0CDW4
contig_1	cds	13999	14940	+	HENGBM_00016	livH	Permease protein, ABC-type branched-chain amino acid transporter	COG:COG0559, COG:E, SO:0001217, UniRef:UniRef50_A9WX53, UniRef:UniRef90_K0CHH8
contig_1	cds	14951	16240	+	HENGBM_00017	livM	Putative permease protein, ABC-type branched-chain amino acid transporter	COG:COG4177, COG:E, SO:0001217, UniRef:UniRef50_A0A512NQ36, UniRef:UniRef90_K0CJV4
contig_1	cds	16240	17007	+	HENGBM_00018	livG	Leucine/isoleucine/valine ABC-like transporter, ATPase subunit	COG:COG0411, COG:E, SO:0001217, UniRef:UniRef50_Q0KBG6, UniRef:UniRef90_K0CJD1
contig_1	cds	17007	17714	+	HENGBM_00019	livF	ATP-binding protein, ABC-type branched-chain amino acid transporter	COG:COG0410, COG:E, RefSeq:WP_022996233.1, SO:0001217, UniParc:UPI0003B80235, UniRef:UniRef100_UPI0003B80235, UniRef:UniRef50_A9WX56, UniRef:UniRef90_K0CGW0
contig_1	cds	17725	19341	+	HENGBM_00020	menE	Long-chain-fatty-acid-CoA ligase, putative	COG:COG0318, COG:I, SO:0001217, UniRef:UniRef50_K0CDW7, UniRef:UniRef90_K0CDW7
contig_1	cds	19350	20549	+	HENGBM_00021	caiA	Acyl-CoA dehydrogenase domain protein	COG:COG1960, COG:I, SO:0001217, UniRef:UniRef50_A0A2X1BRN3, UniRef:UniRef90_K0CHI0
contig_1	cds	20730	20960	-	HENGBM_00022		HTH domain-containing protein	SO:0001217, UniRef:UniRef50_UPI0004792EE3, UniRef:UniRef90_UPI0004792EE3
contig_1	cds	20945	21379	-	HENGBM_00023		nuclear transport factor 2 family protein	RefSeq:WP_022996237.1, SO:0001217, UniParc:UPI0003B8BD3E, UniRef:UniRef100_UPI0003B8BD3E, UniRef:UniRef50_A0A8J2YV86, UniRef:UniRef90_UPI0005579DEF
contig_1	cds	21456	21965	-	HENGBM_00024		methylated-DNA--[protein]-cysteine S-methyltransferase	SO:0001217, UniRef:UniRef50_A0A2P6AR45, UniRef:UniRef90_UPI0035B510D1
contig_1	cds	21976	23385	-	HENGBM_00025	alkA	AlkA N-terminal domain-containing protein	EC:3.2.2.21, KEGG:K13529, SO:0001217, UniRef:UniRef50_A0A5C5V6V1, UniRef:UniRef90_UPI0006D5CCF9
contig_1	cds	23564	25429	-	HENGBM_00026		Lipoprotein	SO:0001217, UniRef:UniRef50_A0A9Q3ZDY6, UniRef:UniRef90_A0A9Q3ZDY6
contig_1	cds	25569	26801	-	HENGBM_00027	fadL	Outer membrane protein transport protein (OMPP1/FadL/TodX)	COG:COG2067, COG:I, KEGG:K06076, RefSeq:WP_063142455.1, SO:0001217, UniParc:UPI0007A74131, UniRef:UniRef100_UPI0007A74131, UniRef:UniRef50_Q0VS28, UniRef:UniRef90_K0CJW8
contig_1	cds	27158	28303	-	HENGBM_00028	caiA	Acyl-CoA dehydrogenase	COG:COG1960, COG:I, RefSeq:WP_022996242.1, SO:0001217, UniParc:UPI0003B8CCDF, UniRef:UniRef100_UPI0003B8CCDF, UniRef:UniRef50_Q9X7Y2, UniRef:UniRef90_K0CJE3
contig_1	cds	28401	29489	-	HENGBM_00029	zapE	cell division protein ZapE	COG:COG1485, COG:D, GO:0005524, GO:0016887, GO:0051301, SO:0001217, UniRef:UniRef50_A0A1D9GHL5, UniRef:UniRef90_K0CGX4
contig_1	cds	29585	30214	-	HENGBM_00030		Alpha/beta hydrolase	COG:COG2945, COG:R, RefSeq:WP_022996244.1, SO:0001217, UniParc:UPI0003B88EBE, UniRef:UniRef100_A0A9Q3W7N4, UniRef:UniRef50_K0CDY8, UniRef:UniRef90_K0CDY8
contig_1	cds	30499	31011	+	HENGBM_00031	yhcB	Z-ring associated protein G	COG:COG3105, COG:D, KEGG:K09908, RefSeq:WP_022996245.1, SO:0001217, UniParc:UPI0003B81A42, UniRef:UniRef100_A0A9Q3W3R2, UniRef:UniRef50_A0A963EKZ2, UniRef:UniRef90_K0CHJ2
contig_1	cds	31114	32328	-	HENGBM_00032	mET3	Sulfate adenylyltransferase	COG:COG2046, COG:P, RefSeq:WP_022996246.1, SO:0001217, UniParc:UPI0003B8820D, UniRef:UniRef100_A0A9Q3W749, UniRef:UniRef50_O76156, UniRef:UniRef90_K0CJX2
contig_1	cds	32565	33482	-	HENGBM_00033	lCB5	DAGKc domain-containing protein	COG:COG1597, COG:IR, RefSeq:WP_022996247.1, SO:0001217, UniParc:UPI0003B8B03E, UniRef:UniRef100_A0A9Q3W824, UniRef:UniRef50_L0WB39, UniRef:UniRef90_K0CJE4
contig_1	cds	33544	34302	-	HENGBM_00034	nIF3	Nif3-like dinuclear metal center hexameric protein	COG:COG0327, COG:H, GO:0005737, GO:0051540, RefSeq:WP_022996248.1, SO:0001217, UniParc:UPI0003B8108F, UniRef:UniRef100_A0A9Q3W8K8, UniRef:UniRef50_L0DXE3, UniRef:UniRef90_K0CGX9
contig_1	cds	34500	35603	+	HENGBM_00035	degQ	Trypsin domain protein	COG:COG0265, COG:O, RefSeq:WP_022996249.1, SO:0001217, UniParc:UPI0003B8D95A, UniRef:UniRef100_A0A9Q3W6S1, UniRef:UniRef50_A0A7C5JAZ5, UniRef:UniRef90_K0CDZ3
contig_1	cds	35600	37222	-	HENGBM_00036		Mucoidy inhibitor A	COG:COG5316, COG:S, SO:0001217, UniRef:UniRef50_K0CHJ4, UniRef:UniRef90_K0CHJ4
contig_1	cds	37314	38372	-	HENGBM_00037	hisC	histidinol-phosphate transaminase	COG:COG0079, COG:E, EC:2.6.1.9, GO:0000105, GO:0004400, KEGG:K00817, RefSeq:WP_022996251.1, SO:0001217, UniParc:UPI0003B89082, UniRef:UniRef100_UPI0003B89082, UniRef:UniRef50_Q7VWL5, UniRef:UniRef90_K0CJX5
contig_1	cds	38451	39752	-	HENGBM_00038	hisD	Histidinol dehydrogenase	COG:COG0141, COG:E, EC:1.1.1.23, KEGG:K00013, RefSeq:WP_374072143.1, SO:0001217, UniParc:UPI0035A921FD, UniRef:UniRef100_UPI0035A921FD, UniRef:UniRef50_Q9HVW9, UniRef:UniRef90_K0CJE7
contig_1	cds	39754	40401	-	HENGBM_00039	hisG	ATP phosphoribosyltransferase	COG:COG0040, COG:E, EC:2.4.2.17, GO:0000105, GO:0003879, GO:0005737, KEGG:K00765, SO:0001217, UniRef:UniRef50_Q9HVW8, UniRef:UniRef90_K0CGY2
contig_1	cds	40412	41674	-	HENGBM_00040	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	COG:COG0766, COG:M, EC:2.5.1.7, GO:0008760, GO:0019277, KEGG:K00790, RefSeq:WP_022996254.1, SO:0001217, UniParc:UPI0003B8B513, UniRef:UniRef100_A0A9Q3ZGX8, UniRef:UniRef50_P45025, UniRef:UniRef90_K0CDZ6
contig_1	cds	41726	41980	-	HENGBM_00041	ibaG	BolA-like protein	COG:COG5007, COG:T, RefSeq:WP_014995896.1, SO:0001217, UniParc:UPI000286BBF5, UniRef:UniRef100_K0CHJ7, UniRef:UniRef50_A0A7R6SWR8, UniRef:UniRef90_K0CHJ7
contig_1	cds	42076	42720	-	HENGBM_00042	mlaC	Toluene tolerance protein Ttg2D	COG:COG2854, COG:M, KEGG:K07323, RefSeq:WP_022996255.1, SO:0001217, UniParc:UPI0003B8C0C0, UniRef:UniRef100_A0A9Q3ZFT3, UniRef:UniRef50_K0CJX9, UniRef:UniRef90_K0CJX9
contig_1	cds	42857	43813	+	HENGBM_00043		Calcium/sodium antiporter	RefSeq:WP_022996256.1, SO:0001217, UniParc:UPI0003B828DE, UniRef:UniRef100_UPI0003B828DE, UniRef:UniRef50_K0CJF0, UniRef:UniRef90_A0A9Q3ZI00
contig_1	cds	43885	44853	+	HENGBM_00044		Arabinose 5-phosphate isomerase	COG:COG2905, COG:T, RefSeq:WP_055100859.1, SO:0001217, UniParc:UPI0006D5BE06, UniRef:UniRef100_A0A9Q3W6I7, UniRef:UniRef50_K0CGY5, UniRef:UniRef90_K0CGY5
contig_1	cds	44853	45356	+	HENGBM_00045	kdsC	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC	COG:COG1778, COG:MR, RefSeq:WP_022996258.1, SO:0001217, UniParc:UPI0003B905C8, UniRef:UniRef100_UPI0003B905C8, UniRef:UniRef50_A0A6J5K7U2, UniRef:UniRef90_K0CE00
contig_1	cds	45353	45910	+	HENGBM_00046	lptC	LPS export ABC transporter periplasmic protein LptC	COG:COG3117, COG:M, GO:0005886, GO:0015221, GO:0015920, SO:0001217, UniRef:UniRef50_K0CHK0, UniRef:UniRef90_K0CHK0
contig_1	cds	45885	46547	+	HENGBM_00047	lptA	lipopolysaccharide transport periplasmic protein LptA	GO:0001530, GO:0015920, GO:0042597, KEGG:K09774, RefSeq:WP_022996260.1, SO:0001217, UniParc:UPI0003B8F22A, UniRef:UniRef100_UPI0003B8F22A, UniRef:UniRef50_A0A2N8M257, UniRef:UniRef90_A0A9Q3W759
contig_1	cds	46550	47275	+	HENGBM_00048	lptB	LPS export ABC transporter ATP-binding protein	COG:COG1137, COG:M, EC:7.5.2.5, GO:0015221, GO:0015920, GO:0042626, GO:0043190, RefSeq:WP_022996261.1, SO:0001217, UniParc:UPI0003B835F0, UniRef:UniRef100_A0A9Q3W836, UniRef:UniRef50_P45073, UniRef:UniRef90_A0A9Q3W836
contig_1	cds	47465	48889	+	HENGBM_00049	rpoN	RNA polymerase factor sigma-54	COG:COG1508, COG:K, EC:2.7.7.6, GO:0001216, GO:0003677, GO:0006352, GO:0016987, KEGG:K03092, SO:0001217, UniRef:UniRef50_P24255, UniRef:UniRef90_K0CGY9
contig_1	cds	48958	49257	+	HENGBM_00050	hpf	ribosome hibernation-promoting factor, HPF/YfiA family	COG:COG1544, COG:J, GO:0005840, GO:0045182, KEGG:K05808, RefSeq:WP_014995905.1, SO:0001217, UniParc:UPI000286BCF2, UniRef:UniRef100_K0CE05, UniRef:UniRef50_P0A147, UniRef:UniRef90_K0CE05
contig_1	cds	49266	49739	+	HENGBM_00051	ptsN	PTS IIA-like nitrogen regulatory protein PtsN	COG:COG1762, COG:GT, GO:0006355, GO:0008982, GO:0009401, RefSeq:WP_022996263.1, SO:0001217, UniParc:UPI0003B7F6A9, UniRef:UniRef100_A0A9Q3W720, UniRef:UniRef50_A0A1C9W2W5, UniRef:UniRef90_K0CHK4
contig_1	cds	49755	50666	+	HENGBM_00052	rapZ	RNase adapter RapZ	COG:COG1660, COG:T, GO:0005524, KEGG:K06958, SO:0001217, UniRef:UniRef50_Q82TN5, UniRef:UniRef90_A0A9Q3W6G0
contig_1	cds	50663	50932	+	HENGBM_00053	ptsH	Phosphotransferase system	COG:COG1925, COG:TG, RefSeq:WP_022996265.1, SO:0001217, UniParc:UPI0003B86B46, UniRef:UniRef100_A0A9Q3W8Y4, UniRef:UniRef50_B8KZN5, UniRef:UniRef90_K0CJF5
contig_1	cds	51085	52413	-	HENGBM_00054	yckC	RDD family protein	COG:COG1714, COG:S, SO:0001217, UniRef:UniRef50_K0CGZ3, UniRef:UniRef90_K0CGZ3
contig_1	cds	52413	54098	-	HENGBM_00055	dnaK	DnaK family protein	COG:COG0443, COG:O, SO:0001217, UniRef:UniRef50_A0AAW7YW60, UniRef:UniRef90_K0CE11
contig_1	cds	54207	55136	-	HENGBM_00056		Putative transmembrane protein	RefSeq:WP_022996268.1, SO:0001217, UniParc:UPI0003B864D4, UniRef:UniRef100_A0A9Q3ZDZ4, UniRef:UniRef50_K0CHK8, UniRef:UniRef90_K0CHK8
contig_1	cds	55202	56557	-	HENGBM_00057	pmbA	metalloprotease PmbA	COG:COG0312, COG:OV, EC:3.4.24.-, GO:0006508, GO:0008237, KEGG:K03592, RefSeq:WP_022996269.1, SO:0001217, UniParc:UPI0003B7EB55, UniRef:UniRef100_A0A9Q3ZFT7, UniRef:UniRef50_A0A379JUA2, UniRef:UniRef90_A0A9Q3ZFT7
contig_1	cds	56624	57163	+	HENGBM_00058	yjgA	ribosome biogenesis factor YjgA	COG:COG3028, COG:J, GO:0042254, KEGG:K09889, SO:0001217, UniRef:UniRef50_K0CJF7, UniRef:UniRef90_K0CJF7
contig_1	cds	57354	58538	-	HENGBM_00059	cynX	Cyanate transporter	COG:COG2807, COG:P, RefSeq:WP_022996271.1, SO:0001217, UniParc:UPI0003B91D7C, UniRef:UniRef100_A0A9Q3W6J7, UniRef:UniRef50_A0A1B9VDY3, UniRef:UniRef90_K0CGZ4
contig_1	cds	58544	59011	-	HENGBM_00060	crp	Cyclic nucleotide-binding domain protein	COG:COG0664, COG:T, RefSeq:WP_022996272.1, SO:0001217, UniParc:UPI0003B8DFE6, UniRef:UniRef100_A0A9Q3W7Q7, UniRef:UniRef50_A0A1H5SJ12, UniRef:UniRef90_K0CE16
contig_1	cds	59083	60528	-	HENGBM_00061	tldD	metalloprotease TldD	COG:COG0312, COG:OV, EC:3.4.24.-, GO:0006508, GO:0008237, KEGG:K03568, RefSeq:WP_022996273.1, SO:0001217, UniParc:UPI0003B8C9A6, UniRef:UniRef100_UPI0003B8C9A6, UniRef:UniRef50_P0AGG8, UniRef:UniRef90_A0A9Q3W3T4
contig_1	cds	60515	61363	-	HENGBM_00062	nit1	Carbon-nitrogen hydrolase family protein	COG:COG0388, COG:V, RefSeq:WP_055100864.1, SO:0001217, UniParc:UPI0006D5B7E0, UniRef:UniRef100_UPI0006D5B7E0, UniRef:UniRef50_K0CJZ2, UniRef:UniRef90_K0CJZ2
contig_1	cds	61368	65150	-	HENGBM_00063	yhdP	YhdP family protein	COG:COG3164, COG:M, RefSeq:WP_317009395.1, SO:0001217, UniParc:UPI00293455E0, UniRef:UniRef100_UPI00293455E0, UniRef:UniRef50_K0CJG0, UniRef:UniRef90_K0CJG0
contig_1	cds	65177	65797	-	HENGBM_00064	maf	dTTP/UTP pyrophosphatase	COG:COG0424, COG:Q, RefSeq:WP_080531443.1, SO:0001217, UniParc:UPI0009B61A65, UniRef:UniRef100_A0A9Q3W8M9, UniRef:UniRef50_Q0VS67, UniRef:UniRef90_K0CGZ7
contig_1	cds	65830	66321	-	HENGBM_00065	mreD	rod shape-determining protein MreD	COG:COG2891, COG:M, GO:0008360, GO:0016020, RefSeq:WP_014995920.1, SO:0001217, UniParc:UPI000286BD01, UniRef:UniRef100_K0CE23, UniRef:UniRef50_K0CE23, UniRef:UniRef90_K0CE23
contig_1	cds	66318	67196	-	HENGBM_00066	mreC	rod shape-determining protein MreC	COG:COG1792, COG:DZ, GO:0008360, KEGG:K03570, RefSeq:WP_080531444.1, SO:0001217, UniParc:UPI0009B6EBE1, UniRef:UniRef100_A0A9Q3W728, UniRef:UniRef50_K0CHL4, UniRef:UniRef90_K0CHL4
contig_1	cds	67242	68420	-	HENGBM_00067	mreB	Cell shape-determining protein MreB	COG:COG1077, COG:DZ, SO:0001217, UniRef:UniRef50_P0A9X4, UniRef:UniRef90_K0CJZ6
contig_1	cds	68638	68925	+	HENGBM_00068	gatC	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	COG:COG0721, COG:J, GO:0006424, GO:0006450, GO:0030956, GO:0050567, RefSeq:WP_063142440.1, SO:0001217, UniParc:UPI0007A7567B, UniRef:UniRef100_UPI0007A7567B, UniRef:UniRef50_Q0VS71, UniRef:UniRef90_K0CJG2
contig_1	cds	68932	70386	+	HENGBM_00069	gatA	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	COG:COG0154, COG:J, EC:6.3.5.6, EC:6.3.5.7, GO:0006412, GO:0006424, GO:0030956, GO:0050567, KEGG:K02433, RefSeq:WP_022996279.1, SO:0001217, UniParc:UPI0003B8EFB8, UniRef:UniRef100_A0A9Q3ZDT0, UniRef:UniRef50_Q2YC91, UniRef:UniRef90_K0CH01
contig_1	cds	70383	71840	+	HENGBM_00070	gatB	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	COG:COG0064, COG:J, EC:6.3.5.6, EC:6.3.5.7, GO:0016884, KEGG:K02434, RefSeq:WP_022996280.1, SO:0001217, UniParc:UPI0003B7FD99, UniRef:UniRef100_UPI0003B7FD99, UniRef:UniRef50_C5BSY9, UniRef:UniRef90_K0CE26
contig_1	cds	72052	73584	+	HENGBM_00071	ctpA	Peptidase S41	COG:COG0793, COG:O, SO:0001217, UniRef:UniRef50_A0A5Q0LZ19, UniRef:UniRef90_K0CHL8
contig_1	cds	73589	73975	+	HENGBM_00072		Lipoprotein	RefSeq:WP_022996282.1, SO:0001217, UniParc:UPI0003B90F30, UniRef:UniRef100_UPI0003B90F30, UniRef:UniRef50_K0CK00, UniRef:UniRef90_UPI0007A742F0
contig_1	cds	73998	74813	+	HENGBM_00073	caiD	crotonase/enoyl-CoA hydratase family protein	COG:COG1024, COG:I, GO:0003824, RefSeq:WP_022996283.1, SO:0001217, UniParc:UPI0003B89A94, UniRef:UniRef100_UPI0003B89A94, UniRef:UniRef50_Q0VS74, UniRef:UniRef90_K0CJG3
contig_1	cds	74853	75695	-	HENGBM_00074		hypothetical protein	RefSeq:WP_022996284.1, SO:0001217, UniParc:UPI0003B8265E, UniRef:UniRef100_UPI0003B8265E, UniRef:UniRef50_A0A9Q3W6K5, UniRef:UniRef90_A0A9Q3W6K5
contig_1	cds	75719	76987	-	HENGBM_00075		Transmembrane protein	RefSeq:WP_022996285.1, SO:0001217, UniParc:UPI0003B8C5B8, UniRef:UniRef100_UPI0003B8C5B8, UniRef:UniRef50_A0A9Q3W7R6, UniRef:UniRef90_A0A9Q3W7R6
contig_1	cds	76987	79938	-	HENGBM_00076	vasX	Toxin VasX N-terminal region domain-containing protein	RefSeq:WP_022996286.1, SO:0001217, UniParc:UPI0003B8302D, UniRef:UniRef100_UPI0003B8302D, UniRef:UniRef50_A0A9Q3W3U4, UniRef:UniRef90_A0A9Q3W3U4
contig_1	cds	79938	82925	-	HENGBM_00077		Rhs element Vgr protein	COG:COG4253, COG:S, KEGG:K11904, SO:0001217, UniRef:UniRef50_K0CHM1, UniRef:UniRef90_K0CHM1
contig_1	cds	83079	84167	-	HENGBM_00078		hypothetical protein	
contig_1	cds	84391	85071	+	HENGBM_00079		Lipoprotein	SO:0001217, UniRef:UniRef50_A0A9Q3W8N9, UniRef:UniRef90_K0CJG7
contig_1	cds	85049	86494	+	HENGBM_00080		hypothetical protein	SO:0001217, UniRef:UniRef50_K0CH08, UniRef:UniRef90_K0CH08
contig_1	cds	86498	87031	+	HENGBM_00081		hypothetical protein	SO:0001217, UniRef:UniRef50_K0CE33
contig_1	cds	87076	87870	+	HENGBM_00082		Peptidase C-terminal archaeal/bacterial domain-containing protein	SO:0001217, UniRef:UniRef50_A0A9Q3W6I0, UniRef:UniRef90_UPI0013575739
contig_1	cds	87812	89002	+	HENGBM_00083		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_K0CK06, UniRef:UniRef50_UPI00105C6A50, UniRef:UniRef90_UPI00105C6A50, UniRef:UniRef90_UPI0013580192
contig_1	cds	89040	90386	-	HENGBM_00084		Putative transmembrane protein	SO:0001217, UniRef:UniRef50_K0CJG9
contig_1	cds	90386	93130	-	HENGBM_00085		Membrane protein-like protein	COG:COG5373, COG:S, SO:0001217, UniRef:UniRef50_K0CH11, UniRef:UniRef90_K0CH11
contig_1	cds	93198	93551	-	HENGBM_00086		hypothetical protein	RefSeq:WP_031228653.1, SO:0001217, UniParc:UPI0004CDEA35, UniRef:UniRef100_A0A9Q3ZE03, UniRef:UniRef50_A0A9Q3ZE03, UniRef:UniRef90_A0A9Q3ZE03
contig_1	cds	93764	94039	-	HENGBM_00087	yrhK	YrhK domain-containing protein	RefSeq:WP_022996297.1, SO:0001217, UniParc:UPI0003B81059, UniRef:UniRef100_A0A9Q3ZFU6, UniRef:UniRef50_K0CHM8, UniRef:UniRef90_K0CHM8
contig_1	cds	94148	94687	+	HENGBM_00088		Cytochrome b	RefSeq:WP_051414191.1, SO:0001217, UniParc:UPI0004B41571, UniRef:UniRef100_UPI0004B41571, UniRef:UniRef50_A0A5P9ETW6, UniRef:UniRef90_A0A9Q3ZI06
contig_1	cds	94692	94964	-	HENGBM_00089		Transmembrane protein	RefSeq:WP_026948566.1, SO:0001217, UniParc:UPI00047D07DD, UniRef:UniRef100_A0A9Q3W6L3, UniRef:UniRef50_K0CJH2, UniRef:UniRef90_A0A9Q3W6L3
contig_1	cds	95044	95892	+	HENGBM_00090	crp	Cyclic nucleotide-binding domain protein	COG:COG0664, COG:T, SO:0001217, UniRef:UniRef50_K0CH15, UniRef:UniRef90_K0CH15
contig_1	cds	95881	97719	-	HENGBM_00091	cheY	histidine kinase	COG:COG0784, COG:T, SO:0001217, UniRef:UniRef50_G8LDG6, UniRef:UniRef90_K0CE41
contig_1	cds	97716	98408	-	HENGBM_00092	citB	Two component transcriptional regulator, LuxR family	COG:COG2197, COG:TK, RefSeq:WP_022996302.1, SO:0001217, UniParc:UPI0003B8E2A7, UniRef:UniRef100_UPI0003B8E2A7, UniRef:UniRef50_K0CHN2, UniRef:UniRef90_K0CHN2
contig_1	cds	98727	98981	+	HENGBM_00093		hypothetical protein	RefSeq:WP_022996303.1, SO:0001217, UniParc:UPI0003B8574C, UniRef:UniRef100_A0A9Q3W868, UniRef:UniRef50_K0CK13, UniRef:UniRef90_K0CK13
contig_1	cds	99126	100151	+	HENGBM_00094		Lipoprotein	RefSeq:WP_022996304.1, SO:0001217, UniParc:UPI0003B81E62, UniRef:UniRef100_UPI0003B81E62, UniRef:UniRef50_A0A9Q3W8P8, UniRef:UniRef90_A0A9Q3W8P8
contig_1	cds	100278	101039	-	HENGBM_00095	thiF	Molybdopterin synthase sulfurylase MoeB	COG:COG0476, COG:H, RefSeq:WP_026948563.1, SO:0001217, UniParc:UPI00047EF60D, UniRef:UniRef100_UPI00047EF60D, UniRef:UniRef50_Q0VS75, UniRef:UniRef90_K0CH17
contig_1	cds	101082	101903	-	HENGBM_00096	prmC	peptide chain release factor N(5)-glutamine methyltransferase	COG:COG2890, COG:J, EC:2.1.1.297, GO:0006412, GO:0008757, GO:0018364, KEGG:K02493, RefSeq:WP_026948562.1, SO:0001217, UniParc:UPI00047EF8E6, UniRef:UniRef100_A0A9Q3W744, UniRef:UniRef50_A0A1S2T0B1, UniRef:UniRef90_K0CE45
contig_1	cds	101907	103004	-	HENGBM_00097	prfA	peptide chain release factor 1	COG:COG0216, COG:J, GO:0003747, GO:0006415, KEGG:K02835, RefSeq:WP_022996306.1, SO:0001217, UniParc:UPI0003B89AB0, UniRef:UniRef100_A0A9Q3W6J2, UniRef:UniRef50_Q2KZZ3, UniRef:UniRef90_K0CHN3
